"term","regex","class","notes","concept_id","preferred_label","original_term","original_class","abc_role","abc_subrole","domain","concept_family","node_level","analysis_tier","atlas_layer","include_primary","primary_atlas_eligible","retain_reason","interpretation_note","regex_qc_action","corpus_hit_n","corpus_hit_pct","example_pmids"
"lower_lobe_pred","(?i:\b(lower\s+lobe[s]?\s+predominance)\b)","radiology","distribution; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_046","lower lobe pred","lower_lobe_pred","radiology","B","B_imaging_or_pattern","radiology_feature","radiographic_distribution","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",0,0,""
"quantitative_CT","(?i:\b(quantitative\s+CT|quantitative\s+computed\s+tomography|\bQCT\b|CALIPER)\b)","qct","QCT; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.; v2.2.2_measurement_patch: quantitative CT moved from primary disease-state bridge to measurement/sensitivity layer.","RAILD_V2_047","quantitative CT","quantitative_CT","qct","B","B_measurement_modality","imaging_modality","measurement_modality","specific","sensitivity","sensitivity","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed; retained_for_coverage_and_sensitivity_as_quantitative_imaging_method_not_primary_bridge","Quantitative CT is an imaging measurement/analysis method; it is retained for coverage and sensitivity but should not be interpreted as a primary disease-state bridge. Disease-state imaging burden is represented by specific phenotype or extent nodes.","inline_flags_normalized",10,0.67,"40488936;40369252;40197179"
"VRS","(?i:\b(vessel[-\s]?related\s+structures|\bVRS\b)\b)","qct","vessel-related structures; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.; v2.2.2_measurement_patch: VRS moved to measurement-derived imaging sensitivity layer.","RAILD_V2_048","VRS","VRS","qct","B","B_measurement_derived_imaging_feature","measurement_derived_imaging_feature","measurement_derived_imaging_feature","specific","sensitivity","sensitivity","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed; retained_for_sensitivity_as_measurement_derived_imaging_feature","Vessel-related structures is a quantitative CT-derived imaging feature; retained for sensitivity/exploratory coverage but not used as a primary clinical disease-state bridge.","inline_flags_normalized",1,0.07,"30487199"
"fibrosis_extent","(?i:\b(extent\s+of\s+fibrosis|fibrosis\s+extent)\b)","qct","extent; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.; v2.2.2_measurement_patch: retained as disease-state extent/severity node; regex expanded to fibrosis extent and extent of fibrosis.","RAILD_V2_049","fibrosis extent","fibrosis_extent","qct","B","B_imaging_extent_or_severity","radiology_extent_severity","fibrotic_extent","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed; retained_as_primary_disease_state_extent_not_measurement_modality","Fibrosis extent is treated as a disease-state imaging burden/extent node, not as a measurement modality. It remains eligible for the primary disease-state atlas.","inline_flags_normalized",3,0.2,"37280251;37109752;34719401"
"AE-ILD","(?i:\b(?:acute\s+exacerbation(?:s)?\s+(?:of\s+)?(?:RA[-\s]?ILD|ILD|interstitial\s+(?:lung\s+disease|pneumonia))|AE[-\s]?ILDs?|ILD[-\s]?AE)\b)","outcome","acute exacerbation; complete_from_abstract_20260504; updated; old_regex=\b(acute\s+exacerbation|AE-?ILD)\b; abstract_n=54/1493; expand plural acute exacerbations / ILD-AE based on abstract corpus; v2_qc: Restricted acute exacerbation to ILD/interstitial pneumonia or AE-ILD/ILD-AE forms.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_050","Acute exacerbation of ILD","AE-ILD","outcome","C","C_primary_worsening_outcome","clinical_outcome","AE_ILD","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Primary outcome node for the outcome-preserving atlas.","tightened_or_merged",22,1.47,"40617175;40229742;40192850"
"mortality","(?i:\b(?:mortalit(?:y|ies)|deaths?|died|deceased|decedents?|fatalit(?:y|ies)|fatal\s+(?:outcome|outcomes|event|events|case|cases|complication|complications|course)|overall\s+survival|median\s+survival|mean\s+survival|\d+[-\s]?year\s+survival|Kaplan[-\s]?Meier\s+survival|transplant[-\s]?free\s+survival|poor\s+survival|worse\s+survival|short(?:er)?\s+survival|reduced\s+survival)\b|(?<!drug\s)(?<!treatment\s)(?<!medication\s)\bsurvival\s+(?:rate|rates|curve|curves|analysis|analyses)\b)","outcome","death; complete_from_abstract_20260504; updated; old_regex=\bmortalit(y|ies)\b; abstract_n=452/1493; expand explicit mortality to patient death/died/fatality and restricted survival endpoints; avoid raw survival alone; v2_qc: Kept death/mortality and clinically qualified survival phrases; excluded drug/treatment/medication survival false positives.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_051","mortality","mortality","outcome","C","C_primary_worsening_outcome","clinical_outcome","mortality_or_survival","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Primary outcome node for the outcome-preserving atlas.","tightened_or_merged",452,30.27,"41607594;41416743;41399072"
"hospitalization","(?i:\bhospitali[sz]ation\b)","outcome","admission; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_052","hospitalization","hospitalization","outcome","C","C_secondary_severe_outcome","clinical_outcome","healthcare_utilization","specific","sensitivity","sensitivity","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Secondary severe clinical outcome retained for supporting/sensitivity analyses, not a primary outcome node.","inline_flags_normalized",42,2.81,"41607594;41233344;40956071"
"progression","(?i:\b(progress(ion|ive|ed|ing))\b)","outcome","progression; complete_from_abstract_20260504; updated; old_regex=\b(progress(ion|ive))\b; abstract_n=271/1493; include progressed/progressing in addition to progression/progressive; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_053","progression","progression","outcome","C","C_primary_worsening_outcome","clinical_outcome","progression","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Primary outcome node for the outcome-preserving atlas.","inline_flags_normalized",272,18.22,"41782975;41624877;41598167"
"FVC","(?i:\bFVC\b|\b(forced\s+vital\s+capacity)\b)","pft","spirometry; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_054","FVC","FVC","pft","B","B_physiology","pulmonary_function","pulmonary_function","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",190,12.73,"41782975;41624877;41598167"
"DLCO","(?i:\b(DLCO|DL_CO|TLCO)\b|\b(diffusing\s+capacity\s+for\s+carbon\s+monoxide)\b)","pft","gas transfer; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_055","DLCO","DLCO","pft","B","B_physiology","pulmonary_function","pulmonary_function","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",138,9.24,"41624877;41480883;41410579"
"pct_pred","(?i:%\s*pred(icted)?)","modifier","%pred; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_056","pct pred","pct_pred","pft","modifier","modifier","modifier","pulmonary_function_modifier","modifier","sensitivity","sensitivity","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Modifier term retained for compositional/proximity logic, not interpreted as an independent concept node.","inline_flags_normalized; modifier_not_primary",37,2.48,"41010659;40967766;40491463"
"decline","(?i:\b(decline|declined|declining|reduction|reduced|decrease|decreased|decreasing|drop|dropped|worsen(ed|ing)|deteriorat(e|ed|ing|ion))\b)","modifier","worsening; complete_from_abstract_20260504; updated; old_regex=\b(decline|reduction|decrease|drop|worsen(ed|ing))\b; abstract_n=383/1493; include deteriorate/deterioration and declined/decreased variants; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_057","decline","decline","trend","modifier","modifier","modifier","outcome_modifier","modifier","sensitivity","sensitivity","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Modifier term retained for compositional/proximity logic, not interpreted as an independent concept node.","inline_flags_normalized; modifier_not_primary",384,25.72,"41624877;41598167;41480883"
"DAS28","(?i:\b(DAS[-\s]?28(?:-CRP|-ESR)?)\b)","activity","RA activity index; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_058","DAS28","DAS28","activity","B","B_bridge_concept","RA_disease_activity","RA_disease_activity","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",87,5.83,"41233344;41200575;41131762"
"CRP_ESR","(?i:(?:\bC[-\s]?reactive\s+protein\b|\berythrocyte\s+sedimentation\s+rate\b|(?<!DAS28-)(?<!DAS28\s)(?<!DAS-28-)(?<!DAS-28\s)\bCRP\b|(?<!DAS28-)(?<!DAS28\s)(?<!DAS-28-)(?<!DAS-28\s)\bESR\b))","activity","inflammation; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_059","CRP ESR","CRP_ESR","activity","B","B_bridge_concept","RA_disease_activity","systemic_inflammation","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",152,10.18,"41624877;41200575;41131762"
"KL6","(?i:(?:\b(KL[-\s]?6)\b)|(?:\b(KL\s*[-–]?\s*6|sialylated\s+KL[-–]?6|MUC1\s*epitope\s*KL[-–]?6)\b))","biomarker","type II pneumocyte injury; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_060","KL-6","KL6","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","epithelial_injury_biomarker","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",47,3.15,"41143689;40814094;40294559"
"SP_D","(?i:\b(?:SP[-\s]D|surfactant\s*protein\s*D)\b)","biomarker","alveolar; v2_qc: Requires SP-D or SP D/full phrase; removes unhyphenated SPD abbreviation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_061","Surfactant protein D","SP_D","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","epithelial_injury_biomarker","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",17,1.14,"40294559;39814449;39450495"
"NLR","(?i:(?:\b(NLR|neutrophil[-\s]*to[-\s]*lymphocyte\s+ratio)\b)|(?:(neutrophil:?\s*lymphocyte\s*ratio|N:?L\s*ratio)))","biomarker","systemic inflammation; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_062","Neutrophil-to-lymphocyte ratio","NLR","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","inflammatory_ratio","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",8,0.54,"39990294;39449593;39131623"
"CAR","(?i:(?:\b(CRP[-\s]*to[-\s]*albumin\s+ratio|C[-\s]*reactive\s+protein[-\s]*to[-\s]*albumin\s+ratio|CRP\s*/\s*Alb|CRP:?\s*albumin\s*ratio)\b))","biomarker","inflammation/nutrition; merged_var_regex; v2_patch: excludes CAR-T style matches; retains ratio wording; safe_complete_patch_20260519; tightened; Removed standalone CAR acronym; retained explicit CRP-to-albumin ratio wording.; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_063","CRP-to-albumin ratio","CAR","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","inflammatory_nutrition_ratio","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",0,0,""
"ACPA_RF","(?i:\b(?:anti[-\s]?CCP|anti[-\s]?citrullinated\s+protein\s+antibod(?:y|ies)|ACPA|rheumatoid\s+factor)\b|\b(?:positive|negative|elevated|high|low)\s+RF\b|\bRF\s+(?:positiv(?:e|ity)|negativ(?:e|ity)|level(?:s)?|titer(?:s)?|titre(?:s)?|status|concentration|value(?:s)?|test(?:s)?|IgM)\b|\bRF\s*[\(\[]?\s*[+-]\s*[\)\]]?)","biomarker","serology; v2_qc: Restricted standalone RF to serologic contexts to avoid random forest (RF) false positives.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_064","ACPA/RF serology","ACPA_RF","biomarker","A","A_serological_phenotype","serological_host_factor","autoantibody_serology","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Serological host phenotype in the ABC framework; may also be summarised in biomarker/serology atlas layers.","tightened_or_merged",230,15.41,"41624877;41299487;41236136"
"ACPA_RF_high","(?i:\b(?:high(?:ly)?[-\s]*(?:positive|titer(?:ed)?|titre(?:d)?)\s+(?:anti[-\s]?CCP|ACPA|RF)|(?:anti[-\s]?CCP|ACPA|RF)\s+(?:high[-\s]*titer|high[-\s]*titre|highly\s+positive)|(?:anti[-\s]?CCP|ACPA|RF)\s*titers?\s*(?:>=|>|≥|above)|(?:anti[-\s]?CCP|ACPA|RF)\s*titres?\s*(?:>=|>|≥|above))\b)","biomarker","serology high titer; v2_qc: Merged ACPA_RF_high2 into ACPA_RF_high and retained only high-titer/high-positivity serology contexts. Also absorbs removed duplicate ACPA_RF_high2.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_065","High-titer ACPA/RF","ACPA_RF_high","biomarker","A","A_serological_phenotype","serological_host_factor","autoantibody_serology","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Serological host phenotype in the ABC framework; may also be summarised in biomarker/serology atlas layers.","tightened_or_merged",3,0.2,"40300410;34819525;22503074"
"CXCL10","(?i:(?:\b(CXCL10|IP-?10|interferon[-\s]?gamma[-\s]?(?:induced|inducible)\s+protein\s*10)\b)|(?:(IFN[-\s]?[γg]\s*(induced|inducible)\s*protein\s*10)))","biomarker","IFN-γ inducible; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_066","CXCL10","CXCL10","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","chemokine_IFN_axis","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",5,0.33,"38233007;35649411;33879239"
"CXCL9","(?i:\b(?:CXCL9|monokine\s+induced\s+by\s+(?:interferon|IFN)[-\s]?(?:gamma|γ))\b)","biomarker","IFN-γ inducible; merged_var_regex; v2_qc: Removed standalone MIG acronym; retained CXCL9 and full/IFN-gamma monokine phrase.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_067","CXCL9","CXCL9","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","chemokine_IFN_axis","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",1,0.07,"33879239"
"CXCL13","(?i:(?:\b(CXCL13|BCA-?1|B\s*lymphocyte\s*chemoattractant)\b)|(?:(B\s*cell\s*attracting\s*chemokine|B\s*cell\s*chemoattractant)))","biomarker","TLS/B follicles; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_068","CXCL13","CXCL13","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","B_cell_chemokine","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",2,0.13,"40093950;38334875"
"CCL2","(?i:(?:\b(CCL2|MCP-?1|monocyte\s+chemoattractant\s+protein\s*-?1)\b)|(?:(C-?C\s*motif\s*chemokine\s*2)))","biomarker","monocyte chemotaxis; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_069","CCL2","CCL2","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","monocyte_chemokine","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",11,0.74,"39110383;37047772;36601584"
"CCL18","(?i:(?:\b(CCL18|PARC|pulmonary\s+and\s+activation[-\s]?regulated\s+chemokine)\b)|(?:(pulmonary\s*and\s*activation\s*regulated\s*chemokine)))","biomarker","fibrosis activity; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_070","CCL18","CCL18","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","fibrosis_associated_chemokine","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",4,0.27,"35351939;32384128;31607028"
"CXCL12","(?i:(?:\b(CXCL12|SDF-?1|stromal\s*cell[-\s]?derived\s*factor\s*1[a-b]?)\b)|(?:(stromal\s*cell\s*derived\s*factor\s*1\s*alpha|SDF\s*-?1α?)))","biomarker","CXCR4 axis / fibrocyte; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_071","CXCL12","CXCL12","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","fibrocyte_chemokine","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",4,0.27,"37047772;24474664;23710557"
"CX3CL1","(?i:(?:\b(CX3CL1|fractalkine)\b)|(?:(neurotactin)))","biomarker","epithelial-immune; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_072","CX3CL1","CX3CL1","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","immune_epithelial_chemokine","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",1,0.07,"34067842"
"CCL21","(?i:\b(?:CCL21|6Ckine|secondary\s+lymphoid\s+tissue\s+chemokine)\b)","biomarker","iBALT/TLS homing; merged_var_regex; v2_qc: Removed standalone SLC acronym; retained CCL21, 6Ckine, and full secondary lymphoid chemokine phrase.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_073","CCL21","CCL21","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","lymphoid_homing_chemokine","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",0,0,""
"IL8_CXCL8","(?i:\b(IL-?8|CXCL8|interleukin[-\s]?8)\b)","biomarker","neutrophil chemotaxis; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_074","IL8 CXCL8","IL8_CXCL8","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","neutrophil_cytokine","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",5,0.33,"39723749;37976081;33746759"
"IL13","(?i:(?:\b(IL-?13|interleukin[-\s]?13)\b)|(?:(IL-?13R|interleukin[-\s]?13\s*receptor)))","biomarker","type 2 / epithelial; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_075","IL13","IL13","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","type2_cytokine","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",3,0.2,"39678895;33638296;24521636"
"IL17A","(?i:(?:\b(IL-?17A?|interleukin[-\s]?17A?)\b)|(?:(IL-?17R|IL-?17RA?)))","biomarker","Th17 profibrotic; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_076","IL17A","IL17A","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","Th17_cytokine","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",18,1.21,"41354106;40863428;40071296"
"GM_CSF","(?i:(?:\b(GM-?CSF|CSF2|granulocyte[-\s]?macrophage\s+colony[-\s]?stimulating\s+factor)\b)|(?:(CSF\s*2|colony\s*stimulating\s*factor\s*2)))","biomarker","myeloid activation; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_077","GM CSF","GM_CSF","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","myeloid_cytokine","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",4,0.27,"41354106;31387650;31174578"
"BAFF","(?i:(?:\b(BAFF|TNFSF13B|BLyS)\b)|(?:(TNFSF13B|B\s*lymphocyte\s*stimulator|BLyS)))","biomarker","B-cell survival; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_078","BAFF","BAFF","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","B_cell_survival","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",0,0,""
"APRIL","(?:\bTNFSF13\b|(?i:\ba\s+proliferation[-\s]?inducing\s+ligand\b))","biomarker","B-cell survival; merged_var_regex; v2_patch: uppercase-only acronym/full phrase; avoids month-name false positives; safe_complete_patch_20260519; tightened; Removed standalone APRIL token to avoid month-name false positives; retained TNFSF13 and full protein phrase.; v2_qc: No standalone APRIL token; retains TNFSF13/full phrase only to avoid calendar month April.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_079","APRIL","APRIL","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","B_cell_survival","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","retained",0,0,""
"sPD1","(?i:(?:\b(soluble\s*PD-?1|sPD-?1)\b)|(?:(PDCD1\s*\(soluble\)|soluble\s*PDCD1)))","biomarker","immune checkpoint; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_080","sPD1","sPD1","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","immune_checkpoint","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",1,0.07,"34654367"
"sPDL1","(?i:(?:\b(soluble\s*(PD-?L1|PDL1)|sPD-?L1)\b)|(?:(CD274\s*\(soluble\)|soluble\s*PD-?L1)))","biomarker","immune checkpoint; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_081","sPDL1","sPDL1","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","immune_checkpoint","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",1,0.07,"32250876"
"MMP7","(?i:(?:\b(MMP-?7|matrix\s*metalloproteinase[-\s]*7)\b)|(?:(metalloproteinase\s*7)))","biomarker","epithelial injury; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_082","MMP7","MMP7","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","epithelial_injury_biomarker","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",14,0.94,"41392523;40722657;39979794"
"YKL40","(?i:(?:\b(YKL-?40|CHI3L1|chitinase[-\s]?3[-\s]?like\s*1)\b)|(?:(chitinase\s*3\s*like\s*1|HCgp-39)))","biomarker","inflammation/repair; merged_var_regex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_083","YKL40","YKL40","biomarker","B","B_circulating_or_tissue_biomarker","biomarker","inflammation_repair_biomarker","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",4,0.27,"39450495;38900045;37662936"
